id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7634483,A spacious bedroom in city centre,17822659,Barbara,,Dublin City,53.34903,-6.23911,Private room,85,1,0,,,1,0
7636508,Central Lovely Attic Room in the house,1847855,Lucie,,Dublin City,53.34658,-6.2456,Private room,55,3,11,2018-07-16,0.22,1,0
7641839,Beautiful Modern Family Home,40098864,Neil,,Dublin City,53.30834,-6.26594,Entire home/apt,600,1,0,,,1,0
7642454,City Center Dublin 2,40101411,Douglas,,Dublin City,53.33957,-6.26635,Private room,69,2,1,2015-08-28,0.02,1,0
7642809,Double Room in heart of Dublin 2,40103754,Kerry,,Dublin City,53.33161,-6.25819,Private room,60,2,2,2016-01-03,0.04,1,0
7646488,"Malahide Apt, amazing location!!",33985727,Andrew,,Fingal,53.44168,-6.14997,Entire home/apt,99,800,39,2017-10-17,0.78,2,0
7654702,Studio Apt Serpentine Ave,21933448,Hanane,,Dublin City,53.33029,-6.22331,Entire home/apt,60,1,0,,,1,0
7654889,2 Bed opposite Patrick's Cathedral,26550260,Martin,,Dublin City,53.34084,-6.27373,Entire home/apt,149,2,71,2018-08-27,1.43,3,0
7660443,Bright city centre apartment,40208174,John & Anita,,Dublin City,53.34715,-6.28059,Entire home/apt,95,1,6,2015-09-25,0.12,1,0
7673096,Family home with double room ensuite,35690620,Liz,,South Dublin,53.2783,-6.33262,Private room,50,2,88,2019-08-16,1.80,3,0
7685828,Charming Modern 3rd floor Apt,40364611,Lyda,,Dn Laoghaire-Rathdown,53.25912,-6.22245,Entire home/apt,60,2,16,2018-10-22,0.32,1,0
7691466,Private double room in City Centre!,40394123,Peter,,Dublin City,53.34231,-6.24548,Private room,30,3,5,2015-09-06,0.10,1,0
7692164,Cosy apartment close to city,38331595,Ali,,Dublin City,53.33991,-6.27887,Entire home/apt,90,3,45,2019-08-07,0.90,1,10
7706953,Large bright ensuite double room,39920013,Emer,,Dn Laoghaire-Rathdown,53.29128,-6.15389,Private room,45,2,51,2019-09-02,1.29,1,146
7708290,"House by the mills, in the heart of Skerries",7476842,Cleo,,Fingal,53.57633,-6.11007,Entire home/apt,80,4,4,2019-07-26,0.15,1,0
7713989,First Single bedroom in a modern family home.,35690620,Liz,,South Dublin,53.27843,-6.33247,Private room,45,3,95,2019-07-15,1.94,3,0
7721603,Room Available from 8/8/2015,24373009,Nicolas,,Dublin City,53.3391,-6.24208,Private room,70,1,2,2015-08-15,0.04,2,0
7737502,Luxury Studio Sleeps 2 in City Ctr,40660811,Michael,,Dublin City,53.3611,-6.2791,Entire home/apt,110,3,181,2019-08-20,3.61,2,0
7738695,"Large Townhouse, King Bed Shared Bathroom",16263673,Barry,,Dublin City,53.31079,-6.28522,Private room,62,3,98,2019-06-09,1.96,4,50
